SMILES,No.,Smiles,activity10,activity20,activity40,activity60,activity80,activity100
CC(C)=CCn1c(N2CCCC(N)C2)c(C#N)c2c1c(=O)n(Cc1cnc3ccccc3n1)c(=O)n2C,A1092,N#Cc1c2n(C)c(=O)n(c(=O)c2n(c1N1CCCC(C1)N)CC=C(C)C)Cc1cnc2c(n1)cccc2,1.0,1.0,1.0,1.0,1.0,1.0
c1ccc(-c2[nH]c3ccccc3c2C2CCC[NH2+]C2)cc1,A1125,[NH2+]1C[C@H](CCC1)c1c2c([nH]c1-c1ccccc1)cccc2,1.0,1.0,1.0,1.0,1.0,1.0
Cc1nc(C2(c3cnn(C)c3)NC(c3nc(-c4ccccn4)c[nH]3)Cc3c2[nH]c2ccccc32)no1,A1126,Cc1onc(n1)[C@]1(N[C@H](Cc2c1[nH]c1c2cccc1)c1[nH]cc(n1)c1ccccn1)c1cnn(c1)C,1.0,1.0,1.0,1.0,1.0,1.0
CC(=O)N1CCC2(CCN(c3ccc(C(=O)Nc4cc(-c5cccs5)ccc4N)cn3)CC2)C1,A115,O=C(c1ccc(nc1)N1CCC2(CC1)CCN(C2)C(=O)C)Nc1cc(ccc1N)c1cccs1,1.0,1.0,1.0,1.0,1.0,1.0
CNCc1cc(Cl)ccc1Oc1ccc(Cl)cc1,A1155,CNCc1cc(Cl)ccc1Oc1ccc(cc1)Cl,1.0,1.0,1.0,1.0,1.0,1.0
COc1cc(N2C(=O)N(c3ccc(-c4ccc5n[nH]cc5c4)cc3)C(=O)C23CCN(Cc2ncccc2C)CC3)ncn1,A1172,COc1ncnc(c1)N1C(=O)N(C(=O)C21CCN(CC2)Cc1ncccc1C)c1ccc(cc1)c1ccc2c(c1)c[nH]n2,1.0,1.0,1.0,1.0,1.0,1.0
N#Cc1ccc2cc1Oc1ccc3c(c1)C(CC3)N1CCC(NCc3cncn3C2)C1=O,A1176,N#Cc1ccc5cc1Oc3ccc2CC[C@H](c2c3)N6CC[C@H](NCc4cncn4C5)C6=O,1.0,1.0,1.0,1.0,1.0,1.0
CNCc1cc(F)ccc1Oc1ccc(Cl)c(F)c1,A1181,CNCc1cc(F)ccc1Oc1ccc(c(c1)F)Cl,1.0,1.0,1.0,1.0,1.0,1.0
CC(O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,A1201,c1c(Cl)ccc(c12)n(cc2[C@H](C)O)-c3ccc(F)cc3,1.0,1.0,1.0,1.0,1.0,1.0
CCOc1cc2ncc(C(N)=O)c(Nc3ccc(Cl)c(Cl)c3)c2cc1N1CCN(C)CC1,A1248,CCOc1cc2ncc(c(c2cc1N1CCN(CC1)C)Nc1ccc(c(c1)Cl)Cl)C(=O)N,1.0,1.0,1.0,1.0,1.0,1.0
COc1ccc2ncc(OC)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,A1258,COc1ccc2c(n1)c(CCC13CCC(CC1)(CO3)NCc1ccc3c(n1)NC(=O)CO3)c(cn2)OC,1.0,1.0,1.0,1.0,1.0,1.0
CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)c(C)c1,A1270,CCN(C(=O)c1ccc(c(c1)C)C1=CC2(CCNCC2)Oc2c1cccc2)CC,1.0,1.0,1.0,1.0,1.0,1.0
CC(C(O)c1ccc2c(c1)CCC(=O)N2)N1CCC(O)(c2cccc(F)c2)CC1,A128,O=C1CCc2c(N1)ccc(c2)[C@@H]([C@H](N1CC[C@](CC1)(O)c1cccc(c1)F)C)O,1.0,1.0,1.0,1.0,1.0,1.0
Cc1cc(C)n(-c2cc(NC(=O)CC3CCN(C)CC3)nc(-c3ccc(C)o3)n2)n1,A1283,Cc4cc(C)n(c3cc(NC(=O)CC1CCN(C)CC1)nc(c2ccc(C)o2)n3)n4,1.0,1.0,1.0,1.0,1.0,1.0
CCOC(=O)C1CCC(N2CC(NC(=O)CNc3nn(C4CCCC4)c4ccc(C(F)(F)F)cc34)C2)CC1,A1291,CCOC(=O)C1CCC(CC1)N1CC(C1)NC(=O)CNc1nn(c2c1cc(cc2)C(F)(F)F)C1CCCC1,1.0,1.0,1.0,1.0,1.0,1.0
Fc1ccc2c(C3C[NH2+]CCC3F)c(-c3ccccc3)[nH]c2c1,A1302,Fc1cc2[nH]c(-c3ccccc3)c(c2cc1)[C@@H]1C[NH2+]CC[C@@H]1F,1.0,1.0,1.0,1.0,1.0,1.0
O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2cc(F)ccc2o1,A1303,Fc1cc2c(OC(=CC2=O)C(=O)NC2CCN(CC2)Cc2cc3OCOc3cc2)cc1,1.0,1.0,1.0,1.0,1.0,1.0
Fc1ccc2c(C3CNCCC3F)c(-c3ccccc3)[nH]c2c1,A1306,c1cc(F)cc(c12)[nH]c(-c3ccccc3)c2[C@@H]4CNCC[C@H]4F,1.0,1.0,1.0,1.0,1.0,1.0
O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)C1=CC(=O)c2cc(F)ccc2C1,A1331,Fc1ccc2c(c1)C(=O)C=C(C2)C(=O)NC1CCN(CC1)Cc1ccc2c(c1)OCO2,1.0,1.0,1.0,1.0,1.0,1.0
O=C1OC2(CCC(c3nc4ccc(OC(F)(F)F)cc4[nH]3)CC2)CN1c1cccc(F)n1,A1340,O=C1OC2(CN1c1cccc(n1)F)CCC(CC2)c1nc2c([nH]1)cc(cc2)OC(F)(F)F,1.0,1.0,1.0,1.0,1.0,1.0
Cc1ccc2c(N3CCN(CCc4cccc5c4OCC(=O)N5C)CC3)cccc2n1,A1361,c1cc(C)nc(c12)cccc2N(CC3)CCN3CCc(ccc4)c(c45)OCC(=O)N5C,1.0,1.0,1.0,1.0,1.0,1.0
CNCc1ccccc1Oc1ccc(Cl)c(Cl)c1,A1397,CNCc1ccccc1Oc1ccc(c(c1)Cl)Cl,1.0,1.0,1.0,1.0,1.0,1.0
CC1(C)CC(CN2CCC(F)(CNC(=O)c3cc(Cl)cc(Cl)c3)CC2)CCO1,A1431,[H][C@]3(CN2CCC(F)(CNC(=O)c1cc(Cl)cc(Cl)c1)CC2)CCOC(C)(C)C3,1.0,1.0,1.0,1.0,1.0,1.0
CNC(C)c1ccc(Cl)cc1Oc1ccc(C)cc1,A1458,CNC(c1ccc(cc1Oc1ccc(cc1)C)Cl)C,1.0,1.0,1.0,1.0,1.0,1.0
Nc1ccc(C(=O)N2CC3CC(CN(Cc4ccccc4)C3)C2)cc1,A1482,Nc1ccc(cc1)C(=O)N1C[C@@H]2CN(C[C@H](C1)C2)Cc1ccccc1,1.0,1.0,1.0,1.0,1.0,1.0
CCCCCCCN(CC)CC#CCc1ccccc1,A1490,CCCCCCCN(CC#CCc1ccccc1)CC,1.0,1.0,1.0,1.0,1.0,1.0
O=S(=O)(c1ccc2c(c1)CCNCC2)N1CC(Oc2ccccc2Cl)C1,A1522,C1CNCCc(c12)cc(cc2)S(=O)(=O)N3CC(C3)Oc4ccccc4Cl,1.0,1.0,1.0,1.0,1.0,1.0
Cc1nc2c(Cl)cccc2c(=O)n1-c1ccc(OC2CCN(C3CCC3)CC2)cc1,A1549,Cc1nc2c(Cl)cccc2c(=O)n1c1ccc(cc1)OC1CCN(CC1)C1CCC1,1.0,1.0,1.0,1.0,1.0,1.0
CCN(CC)Cc1ccc2c(c1)CCC(N1CCN(CCc3ccc(Cl)cc3)CC1=O)C2,A1553,CCN(Cc1ccc2c(c1)CC[C@@H](C2)N1CCN(CC1=O)CCc1ccc(cc1)Cl)CC,1.0,1.0,1.0,1.0,1.0,1.0
CCCCCCCN(CC)CC#Cc1ccc(C)cc1,A1571,CCCCCCCN(CC)CC#Cc(cc1)ccc1C,1.0,1.0,1.0,1.0,1.0,1.0
CNCc1cc(F)c(Cl)cc1Oc1ccc(Cl)c(Cl)c1,A1580,CNCc1cc(F)c(cc1Oc1ccc(c(c1)Cl)Cl)Cl,1.0,1.0,1.0,1.0,1.0,1.0
COc1ccc(CN2CCC(C#N)(CNC(=O)c3cc(CC(C)C)n(-c4ccccc4)n3)CC2)cc1,A1582,COc1ccc(cc1)CN1CCC(CC1)(CNC(=O)c1cc(n(n1)c1ccccc1)CC(C)C)C#N,1.0,1.0,1.0,1.0,1.0,1.0
Cc1nc2ccc(Oc3ccc(F)cc3)nc2c(=O)n1CC1CCCN(C(C)C)C1,A1599,Fc1ccc(cc1)Oc1ccc2c(n1)c(=O)n(c(n2)C)CC1CCCN(C1)C(C)C,1.0,1.0,1.0,1.0,1.0,1.0
N#Cc1ccc(Cn2cncc2C[NH2+]C2CCN(c3ccncc3)C2=O)cc1,A1609,O=C1N(CC[C@@H]1[NH2+]Cc1n(cnc1)Cc1ccc(cc1)C#N)c1ccncc1,1.0,1.0,1.0,1.0,1.0,1.0
Cc1ccc2c(N3CCN(CCc4cccc5c4OCC(=O)N5C)C(C)C3)cc(F)cc2n1,A1614,c1cc(C)nc(c12)cc(F)cc2N(CC3)C[C@@H](C)N3CCc(ccc4)c(c45)OCC(=O)N5C,1.0,1.0,1.0,1.0,1.0,1.0
O=C1N(CCN2Cc3ccccc3C2)CCN1c1cccc(Cl)c1,A1625,Clc1cccc(c1)N1CCN(C1=O)CCN1Cc2c(C1)cccc2,1.0,1.0,1.0,1.0,1.0,1.0
Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3cccc(C(F)(F)F)c3)C2)n1C,A1629,Cn1c(SCCCN2C[C@@H]3[C@](C2)(C3)c2cccc(c2)C(F)(F)F)nnc1c1ocnc1C,1.0,1.0,1.0,1.0,1.0,1.0
CNCc1cc(Cl)ccc1Oc1ccc(Cl)c(Cl)c1,A1633,CNCc1cc(Cl)ccc1Oc1ccc(c(c1)Cl)Cl,1.0,1.0,1.0,1.0,1.0,1.0
CNCc1ccc(F)cc1Oc1ccc(Cl)c(Cl)c1,A1659,CNCc1ccc(cc1Oc1ccc(c(c1)Cl)Cl)F,1.0,1.0,1.0,1.0,1.0,1.0
Fc1cccc2c(C3C[NH2+]CCC3F)c(-c3ccccc3)[nH]c12,A1660,Fc1c2[nH]c(-c3ccccc3)c(c2ccc1)[C@@H]1C[NH2+]CC[C@@H]1F,1.0,1.0,1.0,1.0,1.0,1.0
COc1ccc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)C(C)(C)O6)(CC3)CO4)c2n1,A1675,COc1ccc2c(n1)c(CC[C@]13CC[C@](CC1)(CO3)NCc1ccc3c(n1)NC(=O)C(O3)(C)C)c(cn2)F,1.0,1.0,1.0,1.0,1.0,1.0
Fc1cccc2c(C3CNCCC3F)c(-c3ccccc3)[nH]c12,A1683,FC1CCNCC1c1c([nH]c2c1cccc2F)c1ccccc1,1.0,1.0,1.0,1.0,1.0,1.0
Fc1cccc2c(C3CNCCC3F)c(-c3ccccc3)[nH]c12,A1684,Fc3cccc4c(C1CNCC[C@H]1F)c(c2ccccc2)[nH]c34,1.0,1.0,1.0,1.0,1.0,1.0
CC(Oc1ccc(S(C)(=O)=O)cc1C(=O)N1CCN(c2ccc(C#N)cc2F)CC1)C(F)(F)F,A1685,N#Cc1ccc(c(c1)F)N1CCN(CC1)C(=O)c1cc(ccc1OC(C(F)(F)F)C)S(=O)(=O)C,1.0,1.0,1.0,1.0,1.0,1.0
COc1cc(C)c2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,A1716,COc1cc(C)c2c(n1)c(CCC13CCC(CC1)(CO3)NCc1ccc3c(n1)NC(=O)CO3)c(cn2)F,1.0,1.0,1.0,1.0,1.0,1.0
O=c1cc(OCc2cccc(F)c2)ccn1-c1ccc(OCCN2CCCC2)cc1,A1718,Fc1cccc(c1)COc1ccn(c(=O)c1)c1ccc(cc1)OCCN1CCCC1,1.0,1.0,1.0,1.0,1.0,1.0
O=C1COc2ccc(CNC34CCC(CCc5c(F)cnc6ccc(OCCO)nc56)(CC3)OC4)nc2N1,A1723,OCCOc1ccc2c(n1)c(CCC13CCC(CC1)(CO3)NCc1ccc3c(n1)NC(=O)CO3)c(cn2)F,1.0,1.0,1.0,1.0,1.0,1.0
COc1cc(-c2cn(C3CCc4c(F)cccc4N(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,A1727,COc1cc(ccc1n1cnc(c1)C)c1nnn(c1)[C@@H]1CCc2c(N(C1=O)CC(F)(F)F)cccc2F,1.0,1.0,1.0,1.0,1.0,1.0
CCOC(=O)c1ccc(C2(c3cnn(C)c3)NC(c3nc(-c4ccc(F)cc4)c[nH]3)Cc3c2[nH]c2ccccc32)nc1,A1730,CCOC(=O)c1ccc(nc1)[C@]1(N[C@H](Cc2c1[nH]c1c2cccc1)c1[nH]cc(n1)c1ccc(cc1)F)c1cnn(c1)C,1.0,1.0,1.0,1.0,1.0,1.0
Cc1nc(-c2ccccn2)sc1-c1ccc2cc(CCN3CCCC3C)ccc2n1,A1738,C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c4c(C)nc(s4)-c5ncccc5,1.0,1.0,1.0,1.0,1.0,1.0
OC1(c2ccc(F)c(F)c2)CCNCC1c1cc(-c2c(Cl)cccc2Cl)no1,A1746,Clc1cccc(c1c1noc(c1)[C@H]1CNCC[C@]1(O)c1ccc(c(c1)F)F)Cl,1.0,1.0,1.0,1.0,1.0,1.0
CN(C(=O)Cc1ccc(-n2cnnn2)cc1)C1CCN(Cc2ccc(C(F)(F)F)cc2)CC1F,A1754,FC1CN(CCC1N(C(=O)Cc1ccc(cc1)n1cnnn1)C)Cc1ccc(cc1)C(F)(F)F,1.0,1.0,1.0,1.0,1.0,1.0
COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1,A1788,COc1cc(ccc1Nc1ncc(c(n1)c1cnc2n1cccc2)Cl)C(=O)N1CCOCC1,1.0,1.0,1.0,1.0,1.0,1.0
O=C(O)C(CC1CCC1)N1CC(CN2CCC(c3cnc4ccccn34)CC2)C(c2cccc(F)c2)C1,A1792,O=C(O)[C@H](CC1CCC1)N6CC(CN4CCC(c2cnc3ccccn23)CC4)[C@@H](c5cccc(F)c5)C6,1.0,1.0,1.0,1.0,1.0,1.0
Cc1nc2cc(C(F)(F)F)ccc2c(=O)n1-c1ccc(OCCCN2CCCC2)cc1,A1809,Cc1nc2cc(ccc2c(=O)n1c1ccc(cc1)OCCCN1CCCC1)C(F)(F)F,1.0,1.0,1.0,1.0,1.0,1.0
CN1CCN(Cc2ccc3c(c2)Cc2c(-c4csc(C#CCOc5cccc(Cl)c5)c4)n[nH]c2-3)CC1,A1829,CN1CCN(CC1)Cc1ccc2c(c1)Cc1c2[nH]nc1c1csc(c1)C#CCOc1cccc(c1)Cl,1.0,1.0,1.0,1.0,1.0,1.0
CCOC(=O)c1cncc(C2(c3cnn(C)c3)NC(c3nc(-c4ccc(F)cc4)c[nH]3)Cc3c2[nH]c2ccccc32)c1,A1835,CCOC(=O)c1cncc(c1)[C@]1(N[C@H](Cc2c1[nH]c1c2cccc1)c1[nH]cc(n1)c1ccc(cc1)F)c1cnn(c1)C,1.0,1.0,1.0,1.0,1.0,1.0
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(C)oc6c(Br)c5CC4)n3C)cccc2n1,A1851,Cc6ccc5c(c4nnc(SCCCN3CCc2cc1nc(C)oc1c(Br)c2CC3)n4C)cccc5n6,1.0,1.0,1.0,1.0,1.0,1.0
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(C)sc6cc5CC4)n3C)cccc2n1,A1852,Cc6ccc5c(c4nnc(SCCCN3CCc2cc1nc(C)sc1cc2CC3)n4C)cccc5n6,1.0,1.0,1.0,1.0,1.0,1.0
CCc1nc2cc3c(c(C)c2o1)CCN(CCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3,A1856,CCc6nc5cc4CCN(CCSc3nnc(c1cccc2nc(C)ccc12)n3C)CCc4c(C)c5o6,1.0,1.0,1.0,1.0,1.0,1.0
O=C1N(CCN2Cc3ccccc3C2)CCN1Cc1cccc(Cl)c1,A1861,Clc1cccc(c1)CN1CCN(C1=O)CCN1Cc2c(C1)cccc2,1.0,1.0,1.0,1.0,1.0,1.0
Cc1ncsc1-c1nnc(CCCCN2CC3CC3(c3ccc(C(F)(F)F)cc3)C2)n1C,A1863,Cn1c(CCCCN2CC3[C@@](C2)(C3)c2ccc(cc2)C(F)(F)F)nnc1c1scnc1C,1.0,1.0,1.0,1.0,1.0,1.0
CN1CCCC1Cn1nc(Cc2ccc(Cl)cc2)c2cccnc2c1=O,A1865,CN1CCC[C@H]1Cn1nc(Cc2ccc(cc2)Cl)c2c(c1=O)nccc2,1.0,1.0,1.0,1.0,1.0,1.0
Cn1c(SCCCN2CC3CCN(c4c(F)cccc4F)C3C2)nnc1-c1cnccn1,A1867,Fc1cccc(c1N1CCC2C1CN(C2)CCCSc1nnc(n1C)c1nccnc1)F,1.0,1.0,1.0,1.0,1.0,1.0
Cc1nc2ccc(F)cc2c(=O)n1-c1ccc(OCCCN2CCCC2)cc1,A1881,Cc1nc2ccc(cc2c(=O)n1c1ccc(cc1)OCCCN1CCCC1)F,1.0,1.0,1.0,1.0,1.0,1.0
CCCCN(CC)CCCCCc1ccc(Cl)cc1,A1884,CCCCN(CCCCCc1ccc(cc1)Cl)CC,1.0,1.0,1.0,1.0,1.0,1.0
Cc1nc(C)c(-c2nnc(SCCCN3CCC4(CCc5cc(F)ccc54)C3)n2C)s1,A1901,Fc1ccc2c(c1)CCC12CCN(C1)CCCSc1nnc(n1C)c1sc(nc1C)C,1.0,1.0,1.0,1.0,1.0,1.0
Cc1cc(C(=O)O)ccc1-c1ccc(N2C(=O)N(c3cnccn3)C3(CCN(Cc4ncccc4C)CC3)C2=O)cn1,A1911,OC(=O)c1ccc(c(c1)C)c1ccc(cn1)N1C(=O)N(C2(C1=O)CCN(CC2)Cc1ncccc1C)c1nccnc1,1.0,1.0,1.0,1.0,1.0,1.0
COc1nc2c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)ccnc2cc1F,A1915,COc1nc2c(ccnc2cc1F)CCC12CCC(CC1)(CO2)NCc1ccc2c(n1)NC(=O)CO2,1.0,1.0,1.0,1.0,1.0,1.0
O=S(=O)(c1ccccc1)C1(F)CCN(CCc2ccc(F)cc2F)CC1,A1921,Fc1ccc(c(c1)F)CCN1CCC(CC1)(F)S(=O)(=O)c1ccccc1,1.0,1.0,1.0,1.0,1.0,1.0
COc1cc(N2C(=O)N(c3ccc(-c4ccccc4C(=O)O)cc3)C(=O)C23CCN(Cc2ncccc2C)CC3)ncn1,A1942,COc1ncnc(c1)N1C(=O)N(C(=O)C21CCN(CC2)Cc1ncccc1C)c1ccc(cc1)c1ccccc1C(=O)O,1.0,1.0,1.0,1.0,1.0,1.0
O=C1COc2ccc(CNC34CCC(CCc5c(F)cnc6ccc(OCCCCO)nc56)(CC3)OC4)nc2N1,A1950,OCCCCOc1ccc2c(n1)c(CCC13CCC(CC1)(CO3)NCc1ccc3c(n1)NC(=O)CO3)c(cn2)F,1.0,1.0,1.0,1.0,1.0,1.0
O=C1COc2ccc(CNC34CCC(CCc5c(F)cnc6ccc(OCCCO)nc56)(CC3)OC4)nc2N1,A1951,OCCCOc1ccc2c(n1)c(CCC13CCC(CC1)(CO3)NCc1ccc3c(n1)NC(=O)CO3)c(cn2)F,1.0,1.0,1.0,1.0,1.0,1.0
CC(C)C(N)C(=O)N1CC(c2cc(F)ccc2F)=CC1c1ccccc1,A1953,Fc1ccc(F)cc1C=1CN(C(=O)[C@H](N)C(C)C)[C@H](C=1)c1ccccc1,1.0,1.0,1.0,1.0,1.0,1.0
COC(=O)C1(CNC(=O)c2cc(OC)cc(OC)c2)CCN(Cc2ccc(C(F)(F)F)cc2)CC1,A1955,COC(=O)C1(CCN(CC1)Cc1ccc(cc1)C(F)(F)F)CNC(=O)c1cc(OC)cc(c1)OC,1.0,1.0,1.0,1.0,1.0,1.0
COCCCc1cc(CN(C(=O)C2CNCCC2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCCC(C)(OC)C(=O)O)c1,A1967,Cc1cc(Cl)c(c(Cl)c1)OCCOc2ccc(cc2)[C@H]3CCNC[C@@H]3C(=O)N(C4CC4)Cc(c5)cc(CCCOC)cc5OCC[C@](C)(C(=O)O)OC,1.0,1.0,1.0,1.0,1.0,1.0
CCn1nc(Cc2ccc(-c3ccccc3)cc2)cc1C1CCN(CC2CN(C(C(=O)O)C(C)(C)C)CC2c2cccc(F)c2)CC1,A1970,CCn1nc(cc1C1CCN(CC1)C[C@H]1CN(C[C@@H]1c1cccc(c1)F)[C@H](C(C)(C)C)C(=O)O)Cc1ccc(cc1)c1ccccc1,1.0,1.0,1.0,1.0,1.0,1.0
CC(c1cccnc1F)c1c(CCN(C)C)sc2ccccc12,A1972,CN(CCc1sc2c(c1C(c1cccnc1F)C)cccc2)C,1.0,1.0,1.0,1.0,1.0,1.0
COc1cc(-c2cn(Cc3ccc(F)cc3)nn2)ccc1-n1cnc(C)c1,A2017,COc1cc(ccc1n1cnc(c1)C)c1nnn(c1)Cc1ccc(cc1)F,1.0,1.0,1.0,1.0,1.0,1.0
CN1CCN(c2ccc3nc(-c4ccc(CN5CCC(c6nnc(-c7ccccn7)[nH]6)CC5)cc4)c(-c4ccccc4)nc3n2)CC1,A2035,CN8CCN(c7ccc6nc(c4ccc(CN3CCC(c2nnc(c1ccccn1)[nH]2)CC3)cc4)c(c5ccccc5)nc6n7)CC8,1.0,1.0,1.0,1.0,1.0,1.0
CNCc1ccc(Cl)cc1Oc1ccc(F)c(Cl)c1,A2038,CNCc1ccc(cc1Oc1ccc(c(c1)Cl)F)Cl,1.0,1.0,1.0,1.0,1.0,1.0
CNCc1ccc(Cl)cc1Oc1cccc(Cl)c1,A2039,CNCc1ccc(cc1Oc1cccc(c1)Cl)Cl,1.0,1.0,1.0,1.0,1.0,1.0
FC1CC[N+]CC1c1c(-c2ccccc2)[nH]c2c(Cl)cccc12,A2050,Clc1cccc2c1[nH]c(c1ccccc1)c2C1C[N+]CCC1F,1.0,1.0,1.0,1.0,1.0,1.0
COc1cccc(-c2nc(CCOc3cccc(CC4C(=O)N(c5ccc(C(C)(C)C)cc5)C4C(=O)O)c3)c(C)o2)c1,A2060,COc5cccc(c4nc(CCOc3cccc(C[C@@H]2C(=O)N(c1ccc(C(C)(C)C)cc1)[C@@H]2C(=O)O)c3)c(C)o4)c5,1.0,1.0,1.0,1.0,1.0,1.0
FC1CC[NH2+]CC1c1c(-c2ccccc2)[nH]c2c(Cl)cccc12,A2066,Clc1c2[nH]c(-c3ccccc3)c(c2ccc1)[C@@H]1C[NH2+]CC[C@@H]1F,1.0,1.0,1.0,1.0,1.0,1.0
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,A2067,Clc1cc(Cl)ccc1CO[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl,1.0,1.0,1.0,1.0,1.0,1.0
Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc6oc(C(F)(F)F)nc6c5CC4)n3C)cccc2n1,A2090,Cc1ccc2c(n1)cccc2c1nnc(n1C)SCCCN1CCc2c(CC1)c1nc(oc1cc2)C(F)(F)F,1.0,1.0,1.0,1.0,1.0,1.0
Cc1cnc(-c2nnc(SCCN3CCc4ccc(-c5cc(C)nn5C)cc4CC3)n2C)cn1,A2096,Cc1ncc(nc1)c1nnc(n1C)SCCN1CCc2c(CC1)ccc(c2)c1cc(nn1C)C,1.0,1.0,1.0,1.0,1.0,1.0
Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccc(F)c(C(F)(F)F)c3)C2)n1C,A2110,Cn1c(SCCCN2CC3C(C2)(C3)c2ccc(c(c2)C(F)(F)F)F)nnc1c1ocnc1C,1.0,1.0,1.0,1.0,1.0,1.0
Cc1ncoc1-c1nnc(SCCCN2CCC3CC3(c3cccc(C(F)(F)F)c3)C2)n1C,A2112,Cn1c(SCCCN2CCC3C(C2)(C3)c2cccc(c2)C(F)(F)F)nnc1c1ocnc1C,1.0,1.0,1.0,1.0,1.0,1.0
CN1CC2CC1CN2c1ccc(-c2ccc3[nH]c(C(F)(F)F)cc3c2)cn1,A2114,CN1CC2CC1CN2c1ccc(cn1)c1ccc2c(c1)cc([nH]2)C(F)(F)F,1.0,1.0,1.0,1.0,1.0,1.0
COc1ccc2ncc(F)c(CCC34CCC(NCc5cc(C)c6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,A2121,COc1ccc2c(n1)c(CC[C@]13CC[C@](CC1)(CO3)NCc1cc(C)c3c(n1)NC(=O)CO3)c(cn2)F,1.0,1.0,1.0,1.0,1.0,1.0
COc1cccc2c1CCCC21CCN(CCCSc2nnc(-c3ocnc3C)n2C)C1,A2123,COc1cccc2c1CCCC12CCN(C1)CCCSc1nnc(n1C)c1ocnc1C,1.0,1.0,1.0,1.0,1.0,1.0
