,Name,Smiles
105,Dasabuvir,S(=O)(=O)(Nc1cc2c(cc(cc2)-c2cc(N3C=CC(=O)NC3=O)cc(C(C)(C)C)c2OC)cc1)C
106,Dosulepin,S1Cc2c(cccc2)\C(\c2c1cccc2)=C\CCN(C)C
107,Etizolam,Clc1ccccc1C1=NCc2n(-c3sc(cc13)CC)c(nn2)C
108,Technetium Tc-99m sestamibi,[TcH+6].O(C(CN=[CH-])(C)C)C.O(C(CN=[CH-])(C)C)C.O(C(CN=[CH-])(C)C)C.O(C(CN=[CH-])(C)C)C.O(C(CN=[CH-])(C)C)C.O(C(CN=[CH-])(C)C)C
109,Technetium Tc-99m tetrofosmin,[Tc].P(CCOCC)(CCOCC)CCP(CCOCC)CCOCC
110,Trisodium citrate dihydrate,[Na+].[Na+].[Na+].O.O.OC(CC(=O)[O-])(CC(=O)[O-])C(=O)[O-]
111,Trypan blue,S(=O)(=O)([O-])c1cc2c(c(O)c1\N=N\c1ccc(cc1C)-c1cc(C)c(\N=N\c3c(O)c4c(cc3S(=O)(=O)[O-])cc(S(=O)(=O)[O-])cc4N)cc1)c(N)cc(S(=O)(=O)[O-])c2.[Na+].[Na+].[Na+].[Na+]
112,Carbon dioxide,O=C=O
113,Iopromide,Ic1c(C(=O)N(CC(O)CO)C)c(I)c(N=C(O)COC)c(I)c1C(O)=NCC(O)CO
114,Sodium Citrate,[Na+].[Na+].[Na+].OC(CC(=O)[O-])(CC(=O)[O-])C(=O)[O-]
115,Sodium Chloride,[Cl-].[Na+]
116,Flutemetamol (18F),s1c2cc(O)ccc2nc1-c1cc(F)c(NC)cc1
117,Fludeoxyglucose (18F),F[C@@H]1[C@@H](O)[C@H](O)[C@H](O[C@@H]1O)CO
118,Florbetapir (18F),FCCOCCOCCOc1ncc(cc1)\C=C\c1ccc(NC)cc1
119,Florbetaben (18F),FCCOCCOCCOc1ccc(cc1)\C=C\c1ccc(NC)cc1
120,Ferric pyrophosphate,[Fe+3].[Fe+3].[Fe+3].[Fe+3].P(OP(=O)([O-])[O-])(=O)([O-])[O-].P(OP(=O)([O-])[O-])(=O)([O-])[O-].P(OP(=O)([O-])[O-])(=O)([O-])[O-]
121,Sucroferric Oxyhydroxide,[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Na+].[Na+].O.O.O.O1[C@](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)(CO)[C@@H](O)[C@H](O)[C@H]1CO.[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[OH-]
122,Uridine triacetate,O1[C@H](COC(=O)C)[C@@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1N1C=CC(=O)NC1=O
123,Sonidegib,P(O)(O)(O)=O.P(O)(O)(O)=O.FC(F)(F)Oc1ccc(cc1)-c1cccc(C(O)=Nc2ccc(nc2)N2C[C@H](O[C@H](C2)C)C)c1C
124,Sincalide,S(CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CC(O)=O)Cc1ccc(OS(O)(=O)=O)cc1)C(=O)NCC(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N)C
125,Technetium Tc-99m Medronate,[Tc].P(O)(O)(=O)CP(O)(O)=O
126,Technetium Tc 99m Mebrofenin,[Tc].Brc1c(C)c(NC(=O)CN(CC(O)=O)CC(O)=O)c(cc1C)C
127,Isosulfan blue,S(=O)(=O)([O-])c1ccc(S(=O)(=O)[O-])cc1C(c1ccc(N(CC)CC)cc1)=C1C=CC(=[N+](CC)CC)C=C1.[Na+]
128,Ioxilan,Ic1c(C(=O)NCC(O)CO)c(I)c(N(C(=O)C)CC(O)CO)c(I)c1C(=O)NCCO
129,Ioversol,Ic1c(C(=O)NCC(O)CO)c(I)c(N(C(=O)CO)CCO)c(I)c1C(=O)NCC(O)CO
130,Iothalamic acid,Ic1c(C(=O)NC)c(I)c(NC(=O)C)c(I)c1C(O)=O
131,Gadoteric acid,[Gd+3].OC(=O)CN1CCN(CCN(CCN(CC1)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-]
132,Cupric Chloride,[Cu](Cl)Cl
133,Chromic chloride,[Cr+3].[Cl-].[Cl-].[Cl-]
134,Brexpiprazole,s1c2c(cc1)c(N1CCN(CC1)CCCCOc1cc3NC(=O)C=Cc3cc1)ccc2
135,Disodium phosphate,P(O)(=O)([O-])[O-].[Na+].[Na+]
136,Potassium Citrate,[K+].[K+].[K+].OC(CC(=O)[O-])(CC(=O)[O-])C(=O)[O-]
137,Medrogestone,O=C1CC[C@@]2([C@@H]3[C@H]([C@@H]4CC[C@@](C(=O)C)(C)[C@]4(CC3)C)C=C(C2=C1)C)C
138,Dienogest,O=C1CCC=2C(=C1)CC[C@H]1[C@@H]3CC[C@@](O)(CC#N)[C@]3(CCC1=2)C
139,Zucapsaicin,O(C)c1cc(ccc1O)CNC(=O)CCCC\C=C/C(C)C
140,Eslicarbazepine acetate,O(C(=O)C)[C@H]1Cc2c(N(c3c1cccc3)C(=O)N)cccc2
141,Stiripentol,O1c2cc(ccc2OC1)\C=C\C(O)C(C)(C)C
142,Paraldehyde,O1C(OC(OC1C)C)C
143,Calcium carbimide,[Ca+2].OC(CC(=O)[O-])(CC(O)=O)C(=O)[O-].N(C#N)C
144,Diiodohydroxyquinoline,Ic1cc(I)c2c(nccc2)c1O
145,Colfosceril palmitate,P(OCC[N+](C)(C)C)(OC[C@H](OC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC)(=O)[O-]
146,Sodium Nitrite,[Na+].O=N[O-]
147,Mesna,S(=O)(=O)([O-])CCS.[Na+]
148,Magnesium hydroxide,[Mg+2].[OH-].[OH-]
149,Daclatasvir,Cl.Cl.O(C(O)=N[C@@H](C(C)C)C(=O)N1CCC[C@H]1c1[nH]c(cn1)-c1ccc(cc1)-c1ccc(cc1)-c1[nH]c(nc1)[C@H]1N(CCC1)C(=O)[C@@H](N=C(OC)O)C(C)C)C
150,Elvitegravir,Clc1cccc(Cc2cc3c(N(C=C(C(O)=O)C3=O)[C@@H](C(C)C)CO)cc2OC)c1F
151,Somatostatin,S1SCC(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(N)C)C1)CCCCN)CC(=O)N)Cc1ccccc1)Cc1ccccc1)Cc1c2c([nH]c1)cccc2)CCCCN)C(O)C)Cc1ccccc1)C(O)C)CO)C(O)=O
152,Quinagolide,S(=O)(=O)(N[C@H]1C[C@H]2[C@H](N(C1)CCC)Cc1c(C2)c(O)ccc1)N(CC)CC
153,Benzoyl peroxide,O(OC(=O)c1ccccc1)C(=O)c1ccccc1
154,Difluocortolone,F[C@@]12[C@H]([C@@H]3C[C@@H](C)[C@H](C(=O)CO)[C@]3(C[C@@H]1O)C)C[C@H](F)C1=CC(=O)C=C[C@@]12C
155,Podophyllin,O1CC2C(C(c3c(cc4OCOc4c3)C2O)c2cc(OC)c(OC)c(OC)c2)C1=O.O1CC2C(C(c3c(cc4OCOc4c3)C2O)c2cc(OC)c(OC)c(OC)c2)C1=O.O1c2c(OC1)cc1c(c2)C(C(C(O)=O)C(CO)C1O)c1cc(OC)c(OC)c(OC)c1.O1c2c(OC1)cc1c(c2)C(C(C(O)=O)C(CO)C1O)c1cc(OC)c(OC)c(OC)c1
156,Chlortetracycline,Clc1c2c(C(=O)C=3[C@H](C[C@@H]4[C@@](O)(C(=O)C(C(O)=N)=C(O)[C@H]4N(C)C)C=3O)[C@@]2(O)C)c(O)cc1
157,Xanthinol,O=C1N(C)C(=O)N(c2ncn(c12)CC(O)CN(CCO)C)C
158,Tixocortol,SCC(=O)[C@@]1(O)CC[C@H]2[C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)[C@@H](O)C[C@]12C
159,Pinaverium,Brc1cc(OC)c(OC)cc1C[N+]1(CCOCC1)CCOCCC1C2CC(CC1)C2(C)C
160,Trimebutine,O(C)c1c(OC)cc(cc1OC)C(OCC(N(C)C)(CC)c1ccccc1)=O
161,Potassium alum,[K+].S(=O)(=O)([O-])[O-].S(=O)(=O)([O-])[O-].[Al+3]
162,Eugenol,O(C)c1cc(ccc1O)CC=C
163,Tetracaine,O(C(=O)c1ccc(NCCCC)cc1)CCN(C)C
164,Benzydamine,O(CCCN(C)C)c1nn(c2c1cccc2)Cc1ccccc1
165,Ivabradine,O(C)c1cc2c(cc1OC)C[C@@H]2CN(CCCN1CCc2cc(OC)c(OC)cc2CC1=O)C
166,Vilanterol,Clc1cccc(Cl)c1COCCOCCCCCCNC[C@H](O)c1cc(CO)c(O)cc1
167,Idebenone,O(C)C=1C(=O)C(CCCCCCCCCCO)=C(C)C(=O)C=1OC
168,Olodaterol,Cl.O1CC(O)=Nc2c1c(cc(O)c2)[C@@H](O)CNC(Cc1ccc(OC)cc1)(C)C
169,Nintedanib,OC/1=Nc2cc(ccc2\C\1=C(\Nc1ccc(N(C(=O)CN2CCN(CC2)C)C)cc1)/c1ccccc1)C(OC)=O
170,Lenvatinib,Clc1cc(Oc2c3cc(C(O)=N)c(OC)cc3ncc2)ccc1NC(O)=NC1CC1
171,Umeclidinium,[Br-].O(Cc1ccccc1)CC[N+]12CCC(CC1)(CC2)C(O)(c1ccccc1)c1ccccc1
172,Edoxaban,Clc1ccc(nc1)NC(=O)C(=O)N[C@H]1CC[C@@H](C[C@H]1NC(=O)c1sc2c(n1)CCN(C2)C)C(=O)N(C)C
173,Olaparib,Fc1ccc(cc1C(=O)N1CCN(CC1)C(=O)C1CC1)Cc1nnc(O)c2c1cccc2
174,Palbociclib,O=C1N(c2nc(ncc2C(C)=C1C(=O)C)Nc1ncc(N2CCNCC2)cc1)C1CCCC1
175,Tasimelteon,O1CCc2c1cccc2[C@@H]1C[C@H]1CN=C(O)CC
176,Trimetazidine,O(C)c1c(OC)c(OC)ccc1CN1CCNCC1
177,Vortioxetine,S(c1ccc(cc1C)C)c1ccccc1N1CC[NH2+]CC1
178,Corticorelin,OC[C@H]1C[C@@H](n2c3nc(nc(NC4CC4)c3nc2)N)C=C1
179,Cobicistat,s1cncc1COC(=O)N[C@@H](Cc1ccccc1)CC[C@@H](NC(=O)[C@@H](NC(=O)N(Cc1nc(sc1)C(C)C)C)CCN1CCOCC1)Cc1ccccc1
180,Ceritinib,Clc1cnc(nc1Nc1ccccc1S(=O)(=O)C(C)C)Nc1cc(C)c(cc1OC(C)C)C1CCNCC1
181,Avibactam,S(ON1[C@@H]2CC[C@H](N(C2)C1=O)C(=O)N)(=O)(=O)[O-].[Na+]
182,Idelalisib,Fc1c2c(N=C(N(C2=O)c2ccccc2)[C@@H](Nc2ncnc3[nH]cnc23)CC)ccc1
183,Ibrutinib,O(c1ccc(cc1)-c1nn(c2ncnc(N)c12)[C@@H]1CCCN(C1)C(=O)C=C)c1ccccc1
184,Ceftolozane,s1nc(nc1N)/C(=N/OC(C(O)=O)(C)C)/C(=O)N[C@H]1[C@H]2SCC(C[n+]3n(C)c(N)c(NC(=O)NCCN)c3)=C(N2C1=O)C(=O)[O-]
185,Naloxegol,O1[C@@H]2[C@]34CCN([C@H](Cc5c3c1c(O)cc5)[C@]4(O)CC[C@@H]2OCCOCCOCCOCCOCCOCCOCCOC)CC=C
186,Netupitant,FC(F)(F)c1cc(cc(c1)C(F)(F)F)C(C(=O)N(C)c1cnc(N2CCN(CC2)C)cc1-c1ccccc1C)(C)C
187,Finafloxacin,Fc1cc2c(N(C=C(C(O)=O)C2=O)C2CC2)c(C#N)c1N1C[C@@H]2NCCO[C@H]2C1
188,Tedizolid Phosphate,P(OC[C@@H]1OC(=O)N(C1)c1cc(F)c(cc1)-c1ccc(nc1)-c1nn(nn1)C)(O)(O)=O
189,Tavaborole,Fc1cc2c(cc1)B(OC2)O
190,Efinaconazole,Fc1cc(F)ccc1[C@](O)([C@H](N1CCC(CC1)=C)C)Cn1ncnc1
191,Eliglustat,O1CCOc2c1cc(cc2)[C@@H](O)[C@H](N=C(O)CCCCCCC)CN1CCCC1
192,Empagliflozin,Clc1ccc(cc1Cc1ccc(O[C@H]2CCOC2)cc1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
193,Suvorexant,Clc1cc2nc(oc2cc1)N1CC[C@H](N(CC1)C(=O)c1cc(ccc1-n1nccn1)C)C
194,Miltefosine,P(OCCCCCCCCCCCCCCCC)(OCC[N+](C)(C)C)(=O)[O-]
195,Vorapaxar,Fc1cc(ccc1)-c1ccc(nc1)\C=C\[C@@H]1[C@H]2[C@@H](C[C@H]3[C@H]1CC[C@@H](N=C(OCC)O)C3)C(O[C@@H]2C)=O
196,Cytisine,O=C1N2C([C@@H]3C[C@H](C2)CNC3)=CC=C1
197,Ledipasvir,FC1(F)c2cc(ccc2-c2c1cc(cc2)-c1[nH]c(nc1)[C@H]1N(CC2(C1)CC2)C(=O)[C@@H](N=C(OC)O)C(C)C)-c1cc2[nH]c(nc2cc1)[C@H]1N([C@@H]2CC[C@H]1C2)C(=O)[C@@H](N=C(OC)O)C(C)C
198,Aliskiren,O(CCCOC)c1cc(ccc1OC)C[C@H](C(C)C)C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C(=O)N)(C)C
199,Benzoctamine,N(CC12CCC(c3c1cccc3)c1c2cccc1)C
200,Bisacodyl,O(C(=O)C)c1ccc(cc1)C(c1ccc(OC(=O)C)cc1)c1ncccc1
201,Bromhexine,Brc1cc(Br)cc(CN(C)C2CCCCC2)c1N
202,Bromopride,Brc1cc(C(O)=NCCN(CC)CC)c(OC)cc1N
203,Brotizolam,Brc1sc2-n3c(nnc3C)CN=C(c2c1)c1ccccc1Cl
204,Butriptyline,N(CC(CC1c2c(CCc3c1cccc3)cccc2)C)(C)C
